DAA,Data Access Alliance
DHN,Data Hub Network
DHO,Data Hub Organization
DHP,Data Hub Platform
DHQ,Data Hub Quality
DHR,Data Hub Repository
DHS,Department of Homeland Security
DHT,Data Hub Technology
DHU,Data Hub Unit
DHV,Data Hub Vehicle
DHW,Data Hub Week
DHX,Data Hub Exchange
DHY,Data Hub Year
DHZ,Data Hub Zone
DIA,Denver International Airport
DIB,Data Integration Board
DIC,Data Integration Center
DID,Data Integration Development
DIE,Data Integration Engineering
DIF,Data Integration Framework
DIG,Data Integration Group
DIH,Data Integration Hub
DII,Data Integration Interface
DIJ,Data Integration Journal
DIK,Data Integration Kit
DIL,Data Integration Laboratory
DIM,Data Integration Management
DIN,Data Integration Network
DIO,Data Integration Organization
DIP,Data Integration Platform
DIQ,Data Integration Quality
DIR,Directory
DIS,Data Integration System
DIT,Data Integration Technology
DIU,Data Integration Unit
DIV,Division
DIW,Data Integration Week
DIX,Data Integration Exchange
DIY,Do It Yourself
DIZ,Data Integration Zone
DJA,Data Journal Alliance
DJB,Data Journal Board
DJC,Data Journal Center
DJD,Data Journal Development
DJE,Data Journal Engineering
DJF,Data Journal Framework
DJG,Data Journal Group
DJH,Data Journal Hub
DJI,Data Journal Interface
DJJ,Data Journal Journal
DJK,Data Journal Kit
DJL,Data Journal Laboratory
DJM,Data Journal Management
DJN,Data Journal Network
DJO,Data Journal Organization
DJP,Data Journal Platform
DJQ,Data Journal Quality
DJR,Data Journal Repository
DJS,Data Journal System
DJT,Data Journal Technology
DJU,Data Journal Unit
DJV,Data Journal Vehicle
DJW,Data Journal Week
DJX,Data Journal Exchange
DJY,Data Journal Year
DJZ,Data Journal Zone
DKA,Data Kit Alliance
DKB,Data Kit Board
DKC,Data Kit Center
DKD,Data Kit Development
DKE,Data Kit Engineering
DKF,Data Kit Framework
DKG,Data Kit Group
DKH,Data Kit Hub
DKI,Data Kit Interface
DKJ,Data Kit Journal
DKK,Danish Krone
DKL,Data Kit Laboratory
DKM,Data Kit Management
DKN,Data Kit Network
DKO,Data Kit Organization
DKP,Data Kit Platform
DKQ,Data Kit Quality
DKR,Data Kit Repository
DKS,Data Kit System
DKT,Data Kit Technology
DKU,Data Kit Unit
DKV,Data Kit Vehicle
DKW,Data Kit Week
DKX,Data Kit Exchange
DKY,Data Kit Year
DKZ,Data Kit Zone
DLA,Data Laboratory Alliance
DLB,Data Laboratory Board
DLC,Downloadable Content
DLD,Data Laboratory Development
DLE,Data Laboratory Engineering
DLF,Data Laboratory Framework
DLG,Data Laboratory Group
DLH,Data Laboratory Hub
DLI,Data Laboratory Interface
DLJ,Data Laboratory Journal
DLK,Data Laboratory Kit
DLL,Dynamic Link Library
DLM,Data Laboratory Management
DLN,Data Laboratory Network
DLO,Data Laboratory Organization
DLP,Data Loss Prevention
DLQ,Data Laboratory Quality
DLR,Data Laboratory Repository
DLS,Data Laboratory System
DLT,Data Laboratory Technology
DLU,Data Laboratory Unit
DLV,Data Laboratory Vehicle
DLW,Data Laboratory Week
DLX,Data Laboratory Exchange
DLY,Data Laboratory Year
DLZ,Data Laboratory Zone
DMA,Direct Memory Access
DMB,Data Management Board
DMC,Data Management Center
DMD,Data Management Development
DME,Data Management Engineering
DMF,Data Management Framework
DMG,Data Management Group
DMH,Data Management Hub
DMI,Data Management Interface
DMJ,Data Management Journal
DMK,Data Management Kit
DML,Data Manipulation Language
DMM,Data Management Module
DMN,Data Management Network
DMO,Data Management Organization
DMP,Data Management Platform
DMQ,Data Management Quality
DMR,Data Management Repository
DMS,Data Management System
DMT,Data Management Technology
DMU,Data Management Unit
DMV,Department of Motor Vehicles
DMW,Data Management Week
DMX,Data Management Exchange
DMY,Data Management Year
DMZ,Demilitarized Zone
DNA,Deoxyribonucleic Acid
DNB,Data Network Board
DNC,Data Network Center
DND,Data Network Development
DNE,Data Network Engineering
DNF,Data Network Framework
DNG,Data Network Group
DNH,Data Network Hub
DNI,Data Network Interface
DNJ,Data Network Journal
DNK,Data Network Kit
DNL,Data Network Laboratory
DNM,Data Network Management
DNN,Data Network News
DNO,Data Network Organization
DNP,Data Network Platform
DNQ,Data Network Quality
DNR,Data Network Repository
DNS,Domain Name System
DNT,Data Network Technology
DNU,Data Network Unit
DNV,Data Network Vehicle
DNW,Data Network Week
DNX,Data Network Exchange
DNY,Data Network Year
DNZ,Data Network Zone
DOA,Data Operations Alliance
DOB,Date of Birth
DOC,Document
DOD,Department of Defense
DOE,Department of Energy
DOF,Data Operations Framework
DOG,Data Operations Group
DOH,Data Operations Hub
DOI,Digital Object Identifier
DOJ,Department of Justice
DOK,Data Operations Kit
DOL,Department of Labor
DOM,Document Object Model
DON,Data Operations Network
DOO,Data Operations Organization
DOP,Data Operations Platform
DOQ,Data Operations Quality
DOR,Data Operations Repository
DOS,Disk Operating System
DOT,Department of Transportation
DOU,Data Operations Unit
DOV,Data Operations Vehicle
DOW,Data Operations Week
DOX,Data Operations Exchange
DOY,Data Operations Year
DOZ,Data Operations Zone
DPA,Data Protection Act
DPB,Data Platform Board
DPC,Data Platform Center
DPD,Data Platform Development
DPE,Data Platform Engineering
DPF,Data Platform Framework
DPG,Data Platform Group
DPH,Data Platform Hub
DPI,Dots Per Inch
DPJ,Data Platform Journal
DPK,Data Platform Kit
DPL,Data Platform Laboratory
DPM,Data Platform Management
DPN,Data Platform Network
DPO,Data Protection Officer
DPP,Data Platform Platform
DPQ,Data Platform Quality
DPR,Data Platform Repository
DPS,Data Platform System
DPT,Data Platform Technology
DPU,Data Platform Unit
DPV,Data Platform Vehicle
DPW,Data Platform Week
DPX,Data Platform Exchange
DPY,Data Platform Year
DPZ,Data Platform Zone
DQA,Data Quality Alliance
DQB,Data Quality Board
DQC,Data Quality Center
DQD,Data Quality Development
DQE,Data Quality Engineering
DQF,Data Quality Framework
DQG,Data Quality Group
DQH,Data Quality Hub
DQI,Data Quality Interface
DQJ,Data Quality Journal
DQK,Data Quality Kit
DQL,Data Quality Laboratory
DQM,Data Quality Management
DQN,Data Quality Network
DQO,Data Quality Organization
DQP,Data Quality Platform
DQQ,Data Quality Qualification
DQR,Data Quality Repository
DQS,Data Quality System
DQT,Data Quality Technology
DQU,Data Quality Unit
DQV,Data Quality Vehicle
DQW,Data Quality Week
DQX,Data Quality Exchange
DQY,Data Quality Year
DQZ,Data Quality Zone
DRA,Data Repository Alliance
DRB,Data Repository Board
DRC,Data Repository Center
DRD,Data Repository Development
DRE,Data Repository Engineering
DRF,Data Repository Framework
DRG,Data Repository Group
DRH,Data Repository Hub
DRI,Data Repository Interface
DRJ,Data Repository Journal
DRK,Data Repository Kit
DRL,Data Repository Laboratory
DRM,Digital Rights Management
DRN,Data Repository Network
DRO,Data Repository Organization
DRP,Disaster Recovery Plan
DRQ,Data Repository Quality
DRR,Data Repository Repository
DRS,Data Repository System
DRT,Data Repository Technology
DRU,Data Repository Unit
DRV,Data Repository Vehicle
DRW,Data Repository Week
DRX,Data Repository Exchange
DRY,Data Repository Year
DRZ,Data Repository Zone
DSA,Data Security Alliance
DSB,Data Security Board
DSC,Data Security Center
DSD,Data Security Development
DSE,Data Security Engineering
DSF,Data Security Framework
DSG,Data Security Group
DSH,Data Security Hub
DSI,Data Security Interface
DSJ,Data Security Journal
DSK,Data Security Kit
DSL,Digital Subscriber Line
DSM,Data Security Management
DSN,Data Source Name
DSO,Data Security Organization
DSP,Digital Signal Processing
DSQ,Data Security Quality
DSR,Data Security Repository
DSS,Decision Support System
DST,Daylight Saving Time
DSU,Data Security Unit
DSV,Data Security Vehicle
DSW,Data Security Week
DSX,Data Security Exchange
DSY,Data Security Year
DSZ,Data Security Zone
DTA,Data Technology Alliance
DTB,Data Technology Board
DTC,Data Technology Center
DTD,Document Type Definition
DTE,Data Technology Engineering
DTF,Data Technology Framework
DTG,Data Technology Group
DTH,Data Technology Hub
DTI,Data Technology Interface
DTJ,Data Technology Journal
DTK,Data Technology Kit
DTL,Data Technology Laboratory
DTM,Data Technology Management
DTN,Data Technology Network
DTO,Data Transfer Object
DTP,Data Technology Platform
DTQ,Data Technology Quality
DTR,Data Technology Repository
DTS,Data Technology System
DTT,Data Technology Test
DTU,Data Technology Unit
DTV,Data Technology Vehicle
DTW,Data Technology Week
DTX,Data Technology Exchange
DTY,Data Technology Year
DTZ,Data Technology Zone
DUA,Data User Alliance
DUB,Dublin Airport
DUC,Data User Center
DUD,Data User Development
DUE,Data User Engineering
DUF,Data User Framework
DUG,Data User Group
DUH,Data User Hub
DUI,Driving Under Influence
DUJ,Data User Journal
DUK,Data User Kit
DUL,Data User Laboratory
DUM,Data User Management
DUN,Data User Network
DUO,Data User Organization
DUP,Data User Platform
DUQ,Data User Quality
DUR,Data User Repository
DUS,Data User System
DUT,Data User Technology
DUU,Data User Unit
DUV,Data User Vehicle
DUW,Data User Week
DUX,Data User Exchange
DUY,Data User Year
DUZ,Data User Zone
DVA,Data Value Alliance
DVB,Digital Video Broadcasting
DVC,Data Value Center
DVD,Digital Versatile Disc
DVE,Data Value Engineering
DVF,Data Value Framework
DVG,Data Value Group
DVH,Data Value Hub
DVI,Digital Visual Interface
DVJ,Data Value Journal
DVK,Data Value Kit
DVL,Data Value Laboratory
DVM,Data Value Management
DVN,Data Value Network
DVO,Data Value Organization
DVP,Data Value Platform
DVQ,Data Value Quality
DVR,Digital Video Recorder
DVS,Data Value System
DVT,Data Value Technology
DVU,Data Value Unit
DVV,Data Value Vehicle
DVW,Data Value Week
DVX,Data Value Exchange
DVY,Data Value Year
DVZ,Data Value Zone
DWA,Data Warehouse Alliance
DWB,Data Warehouse Board
DWC,Data Warehouse Center
DWD,Data Warehouse Development
DWE,Data Warehouse Engineering
DWF,Data Warehouse Framework
DWG,Data Warehouse Group
DWH,Data Warehouse Hub
DWI,Driving While Intoxicated
DWJ,Data Warehouse Journal
DWK,Data Warehouse Kit
DWL,Data Warehouse Laboratory
DWM,Data Warehouse Management
DWN,Data Warehouse Network
DWO,Data Warehouse Organization
DWP,Data Warehouse Platform
DWQ,Data Warehouse Quality
DWR,Data Warehouse Repository
DWS,Data Warehouse System
DWT,Data Warehouse Technology
DWU,Data Warehouse Unit
DWV,Data Warehouse Vehicle
DWW,Data Warehouse Week
DWX,Data Warehouse Exchange
DWY,Data Warehouse Year
DWZ,Data Warehouse Zone
DXA,Data eXchange Alliance
DXB,Dubai International Airport
DXC,Data eXchange Center
DXD,Data eXchange Development
DXE,Data eXchange Engineering
DXF,Data eXchange Framework
DXG,Data eXchange Group
DXH,Data eXchange Hub
DXI,Data eXchange Interface
DXJ,Data eXchange Journal
DXK,Data eXchange Kit
DXL,Data eXchange Laboratory
DXM,Data eXchange Management
DXN,Data eXchange Network
DXO,Data eXchange Organization
DXP,Data eXchange Platform
DXQ,Data eXchange Quality
DXR,Data eXchange Repository
DXS,Data eXchange System
DXT,Data eXchange Technology
DXU,Data eXchange Unit
DXV,Data eXchange Vehicle
DXW,Data eXchange Week
DXX,Data eXchange eXchange
DXY,Data eXchange Year
DXZ,Data eXchange Zone
DYA,Data Year Alliance
DYB,Data Year Board
DYC,Data Year Center
DYD,Data Year Development
DYE,Data Year Engineering
DYF,Data Year Framework
DYG,Data Year Group
DYH,Data Year Hub
DYI,Data Year Interface
DYJ,Data Year Journal
DYK,Data Year Kit
DYL,Data Year Laboratory
DYM,Data Year Management
DYN,Dynamic
DYO,Data Year Organization
DYP,Data Year Platform
DYQ,Data Year Quality
DYR,Data Year Repository
DYS,Data Year System
DYT,Data Year Technology
DYU,Data Year Unit
DYV,Data Year Vehicle
DYW,Data Year Week
DYX,Data Year Exchange
DYY,Data Year Year
DYZ,Data Year Zone
DZA,Data Zone Alliance
DZB,Data Zone Board
DZC,Data Zone Center
DZD,Algerian Dinar
DZE,Data Zone Engineering
DZF,Data Zone Framework
DZG,Data Zone Group
DZH,Data Zone Hub
DZI,Data Zone Interface
DZJ,Data Zone Journal
DZK,Data Zone Kit
DZL,Data Zone Laboratory
DZM,Data Zone Management
DZN,Data Zone Network
DZO,Data Zone Organization
DZP,Data Zone Platform
DZQ,Data Zone Quality
DZR,Data Zone Repository
DZS,Data Zone System
DZT,Data Zone Technology
DZU,Data Zone Unit
DZV,Data Zone Vehicle
DZW,Data Zone Week
DZX,Data Zone Exchange
DZY,Data Zone Year
DZZ,Data Zone Zone
